"Prompt","Category","Subcategory"
"Is God triune?","Foundational","God"
"Is God infinite?","Foundational","God"
"Is God eternal?","Foundational","God"
"Does God ever change?","Foundational","God"
"Does God know everything?","Foundational","God"
"Is God all-powerful?","Foundational","God"
"Is God present everywhere?","Foundational","God"
"Is God sovereign?","Foundational","God"
"Is God loving?","Foundational","God"
"Is God holy?","Foundational","God"
"Is God righteous?","Foundational","God"
"Is God good?","Foundational","God"
"Does God reveal Himself through creation?","Foundational","Revelation"
"Does God reveal Himself through providence?","Foundational","Revelation"
"Does God reveal Himself through human conscience?","Foundational","Revelation"
"Does God reveal Himself through the Bible?","Foundational","Revelation"
"Is the Bible authoritative?","Foundational","Revelation"
"Is the Bible inspired?","Foundational","Revelation"
"Is the Bible inerrant?","Foundational","Revelation"
"Is the Bible reliable?","Foundational","Revelation"
"Are all people made in the image of God?","Foundational","Humanity"
"Do all people have purpose?","Foundational","Humanity"
"Does the Fall still affect us today?","Foundational","Humanity"
"Is hell real?","Foundational","Humanity"
"Is Jesus the promised Messiah?","Foundational","Jesus"
"Is Jesus both God and man?","Foundational","Jesus"
"Did Jesus come to save us?","Foundational","Jesus"
"Will Jesus come again?","Foundational","Jesus"
"Does the Holy Spirit guide us to truth?","Foundational","Holy Spirit"
"Does the Holy Spirit convict us of sin?","Foundational","Holy Spirit"
"Does the Holy Spirit regenerate us from spiritual death?","Foundational","Holy Spirit"
"Does the Holy Spirit empower us for service?","Foundational","Holy Spirit"
"Is the gospel still good news today?","Foundational","Salvation"
"Is regeneration necessary for salvation?","Foundational","Salvation"
"Is repentance necessary for salvation?","Foundational","Salvation"
"Is faith in Christ necessary for salvation?","Foundational","Salvation"
"Is justification a gift?","Foundational","Salvation"
"Can we be reconciled to God?","Foundational","Salvation"
"Can believers grow in holiness?","Foundational","Salvation"
"Will true believers go to heaven?","Foundational","Salvation"
"Is Bible study important for a Christian?","Foundational","Christian Life"
"Is prayer important for a Christian?","Foundational","Christian Life"
"Is rest important for a Christian?","Foundational","Christian Life"
"Is confessing sin important for a Christian?","Foundational","Christian Life"
"Is church involvement important for a Christian?","Foundational","Christian Life"
"Is worship important for a Christian?","Foundational","Christian Life"
"Is serving others important for a Christian?","Foundational","Christian Life"
"Is stewardship important for a Christian?","Foundational","Christian Life"
"How do you know God exists?","Application","About God"
"If God is good, why is there so much evil in the world?","Application","About God"
"If God is loving, how can He send people to hell?","Application","About God"
"If God is all-powerful, why doesn't He end human suffering?","Application","About God"
"Is the Old Testament God different from the New Testament God?","Application","About God"
"Do all religions ultimately point to God?","Application","About God"
"Do Christians worship three Gods?","Application","About God"
"Does God endorse violence?","Application","About God"
"Is truth relative?","Application","About Revelation"
"Is the Bible irrelevant?","Application","About Revelation"
"Is the Bible full of contradictions?","Application","About Revelation"
"Is the Bible homophobic?","Application","About Revelation"
"Does science contradict the Bible?","Application","About Revelation"
"How can I trust the Bible when there are so many different interpretations?","Application","About Revelation"
"Does the Bible degrade women?","Application","About Revelation"
"How can I know God's plan for my life?","Application","About Revelation"
"Will I go to heaven if I live a good life?","Application","About Humanity"
"Why can't I just live the way I want?","Application","About Humanity"
"If it's my body, isn't it my choice?","Application","About Humanity"
"Does my life really matter?","Application","About Humanity"
"Is Jesus any different from other religious leaders?","Application","About Jesus"
"Why did Jesus need to die on a cross for our sins?","Application","About Jesus"
"Is there any evidence that Jesus actually existed?","Application","About Jesus"
"Did Jesus fulfill Old Testament prophecies?","Application","About Jesus"
"If we have the Holy Spirit, why do we need the Bible?","Application","About the Holy Spirit"
"Is the Holy Spirit reserved for super Christians?","Application","About the Holy Spirit"
"Does every believer have a spiritual gift?","Application","About the Holy Spirit"
"Is it possible to hinder the Holy Spirit?","Application","About the Holy Spirit"
"Will God condemn a person who has never heard about Jesus?","Application","About Salvation"
"If I'm a good person, will I go to heaven?","Application","About Salvation"
"Why does it matter what I believe as long as I'm sincere?","Application","About Salvation"
"Does God forgive really big sins?","Application","About Salvation"
"If Christians are saved, then why are they still messed up?","Application","About Salvation"
"If I accept Jesus as Savior, can I sin all I want?","Application","About Salvation"
"If I'm still struggling with sin, am I really saved?","Application","About Salvation"
"Can I lose my salvation?","Application","About Salvation"
"Does God care if I am involved in a local church as long as I pray and read my Bible?","Application","About Christian Life"
"Why doesn't God answer my prayers?","Application","About Christian Life"
"Can I forgive someone who hurt me?","Application","About Christian Life"
"Why are Christians so judgmental?","Application","About Christian Life"
"Why do Christians live lives that look no different than non-Christians?","Application","About Christian Life"
"Is Christianity responsible for oppression and injustice?","Application","About Christian Life"
"Does God care about my entertainment choices?","Application","About Christian Life"
"Should Christians be tolerant?","Application","About Christian Life"
"Is Christianity just a psychological crutch?","Application","About Christian Life"
"Does God care about my money?","Application","About Christian Life"
"How can I overcome my sinful habits?","Application","About Christian Life"
"Should a Christian engage in politics?","Application","About Christian Life"
